STATION_ID,DURATION,DATE TIME,OBS DATE,STORAGE,DATA_FLAG,UNITS,INFLOW,OUTFLOW
BER,D,20010906 0000,20010906 0000,1287478,,AF,-174,383
BER,D,20010907 0000,20010907 0000,1286424,,AF,42,388
BER,D,20010908 0000,20010908 0000,1285545,,AF,87,388
BER,D,20010909 0000,20010909 0000,1283964,,AF,-309,368
BER,D,20010910 0000,20010910 0000,1283086,,AF,32,355
BER,D,20010911 0000,20010911 0000,1281856,,AF,-129,377
BER,D,20010912 0000,20010912 0000,1280802,,AF,-49,395
BER,D,20010913 0000,20010913 0000,1279748,,AF,-35,376
BER,D,20010914 0000,20010914 0000,1278694,,AF,-36,375
BER,D,20010915 0000,20010915 0000,1277464,,AF,-111,389
BER,D,20010916 0000,20010916 0000,1276761,,AF,166,395
BER,D,20010917 0000,20010917 0000,1275883,,AF,82,411
BER,D,20010918 0000,20010918 0000,1274653,,AF,-89,401
BER,D,20010919 0000,20010919 0000,1273775,,AF,12,352
BER,D,20010920 0000,20010920 0000,1272369,,AF,-283,339
BER,D,20010921 0000,20010921 0000,1271491,,AF,85,371
BER,D,20010922 0000,20010922 0000,1270264,,AF,-135,365
